Customer ID,Recency,Frequency,Monetary,Total Orders,Average Price,Cluster
12346,164.0,33.0,206.36000000000004,33.0,6.253333333333334,0
12608,39.0,12.000000000000014,22.400000000000006,12.000000000000014,1.8666666666666665,1
12745,121.0,15.000000000000014,27.120000000000005,15.000000000000014,1.808,1
12746,175.0,17.0,59.099999999999994,17.0,3.476470588235294,0
12747,4.0,135.0,485.4599999999999,135.0,3.5959999999999996,1
12748,0.0,2364.0,4821.79,2364.0,2.0396742808798645,3
12749,34.0,96.99999999999999,313.64,96.99999999999999,3.23340206185567,1
12777,91.99999999999999,21.000000000000014,54.05000000000001,21.000000000000014,2.5738095238095235,1
12819,93.0,13.0,31.720000000000027,13.0,2.44,1
12820,32.0,82.00000000000001,161.80000000000004,82.00000000000001,1.9731707317073173,1
12821,246.0,7.0,16.29000000000002,7.0,2.327142857142857,0
12823,161.0,4.000000000000014,25.400000000000006,4.000000000000014,6.35,0
12825,156.0,16.0,50.84000000000003,16.0,3.1775,0
12826,0.0,71.00000000000001,144.61,71.00000000000001,2.0367605633802817,1
12829,185.0,4.000000000000014,13.660000000000025,4.000000000000014,3.415,0
12831,98.0,11.0,21.5,11.0,1.9545454545454546,1
12835,62.00000000000001,597.0,2077.63,597.0,3.4801172529313233,2
12836,24.0,200.0,622.35,200.0,3.1117500000000002,1
12837,204.0,69.0,198.97,69.0,2.8836231884057972,0
12838,8.0,279.0,586.76,279.0,2.1030824372759858,2
12839,2.0,249.0,481.76,249.0,1.9347791164658634,1
12840,72.0,59.00000000000001,132.75,59.00000000000001,2.25,1
12841,4.0,243.0,564.98,243.0,2.325020576131687,1
12842,39.0,12.000000000000014,29.50000000000003,12.000000000000014,2.4583333333333335,1
12843,17.0,81.00000000000001,202.14000000000004,81.00000000000001,2.4955555555555557,1
12844,77.0,48.000000000000014,172.36,48.000000000000014,3.5908333333333338,1
12847,22.0,29.999999999999993,39.84000000000003,29.999999999999993,1.328,1
12848,310.0,13.0,36.70000000000002,13.0,2.8230769230769233,0
